playerId,playerName,teamCode,runs,balls,fours,sixes,wickets,overs,maidens,catches,stumpings,runOuts
0,Babar Azam,KK,72,55,8,2,0,0,0,1,0,0
1,Shaheen Shah Afridi,LQ,5,4,0,0,3,4,1,0,0,1
2,Mohammad Rizwan,KK,48,38,5,0,0,0,0,2,1,0
3,Shadab Khan,IU,22,16,2,1,2,4,0,1,0,0
4,Haris Rauf,LQ,4,3,0,0,2,4,0,0,0,0
5,Fakhar Zaman,LQ,65,44,7,3,0,0,0,0,0,0
6,Iftikhar Ahmed,IU,35,24,3,1,1,2,0,0,0,0
7,Wahab Riaz,PZ,8,6,1,0,1,4,0,0,0,0
8,Shoaib Malik,PZ,42,32,4,2,0,0,0,1,0,0
9,Imad Wasim,KK,18,14,2,0,2,4,0,0,0,0
10,Mohammad Amir,KK,3,3,0,0,3,4,0,0,0,0
11,Asif Ali,IU,28,16,2,2,0,0,0,0,0,0
12,Sarfaraz Ahmed,QG,38,30,4,1,0,0,0,3,0,0
13,Mohammad Nawaz,QG,15,12,1,0,2,4,0,0,0,0
14,Usman Khan,QG,22,14,3,0,0,0,0,0,0,0
15,Naseem Shah,LQ,2,2,0,0,2,4,1,0,0,0
